decor_id,name,item_id,id,att_file,source_parent_kind,source_parent_id,map_id,coord_x,coord_y,extra_spawns,awp_own,awp_ancestor,awp_ancestor_from,ancestry,own_fields,decision
17521,Preyseeker's Farstrider Effigy,265797,17521,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,1200}},itemID=265797,spellID=1277177}",concrete_att_source_needs_restriction_review
17522,Preyseeker's Ren'dorei Bust,265798,17522,ExpansionFeatures.lua,ach,62154,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62154,"{itemID=265798,spellID=1277178}",concrete_att_source_needs_restriction_review
17522,Preyseeker's Ren'dorei Bust,265798,17522,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,800}},itemID=265798,spellID=1277178}",concrete_att_source_needs_restriction_review
17523,Preyseeker's Farstrider Bust,265799,17523,ExpansionFeatures.lua,ach,62158,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62158,"{itemID=265799,spellID=1277179}",concrete_att_source_needs_restriction_review
17523,Preyseeker's Farstrider Bust,265799,17523,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,800}},itemID=265799,spellID=1277179}",concrete_att_source_needs_restriction_review
19763,Sin'dorei Tiffin-Style Lamp,268457,19763,Holidays.lua,n,264056,2393,31.6,76.7,,,120005,h+3,h:-36>h:-749>h:-58>n:264056,"{cost={{""c"",3316,400}},itemID=268457,spellID=1282449}",concrete_att_source_needs_restriction_review
20632,Devouring Ritual Spire,269269,20632,Instances.lua,inst,1307,2405,45.4,64,,,120001,inst+3,h:-75>x:12>inst:1307>d:109>e:2738,"{itemID=269269,spellID=1285071}",concrete_att_source_needs_restriction_review
21079,Sin'dorei Covered Cookpot,269613,21079,Holidays.lua,n,264056,2393,31.6,76.7,,,120005,h+3,h:-36>h:-749>h:-58>n:264056,"{cost={{""c"",3316,350}},itemID=269613,spellID=1285829}",concrete_att_source_needs_restriction_review
21080,Sin'dorei Open Cookpot,269614,21080,Holidays.lua,n,264056,2393,31.6,76.7,,,120005,h+3,h:-36>h:-749>h:-58>n:264056,"{cost={{""c"",3316,250}},itemID=269614,spellID=1285830}",concrete_att_source_needs_restriction_review
21101,Sin'dorei Cookpot Lid,269636,21101,Holidays.lua,n,264056,2393,31.6,76.7,,,120005,h+3,h:-36>h:-749>h:-58>n:264056,"{cost={{""c"",3316,250}},itemID=269636,spellID=1285875}",concrete_att_source_needs_restriction_review
21106,Sin'dorei Display Case,269641,21106,Holidays.lua,n,264056,2393,31.6,76.7,,,120005,h+3,h:-36>h:-749>h:-58>n:264056,"{cost={{""c"",3316,400}},itemID=269641,spellID=1285933}",concrete_att_source_needs_restriction_review
21598,Dark Obelisk,271158,21598,ExpansionFeatures.lua,n,255495,2393,47.7,50.5,,,120100,h+2,h:-735>x:12>h:-758>h:-58>n:255495,"{cost={{""c"",3316,500}},itemID=271158,minReputation={2792,7},spellID=1288725}",concrete_att_source_needs_restriction_review
21602,Sin'dorei Garden Swing,271162,21602,Holidays.lua,n,264056,2393,31.6,76.7,,,120005,h+3,h:-36>h:-749>h:-58>n:264056,"{cost={{""c"",3316,750}},itemID=271162,spellID=1288729}",concrete_att_source_needs_restriction_review
21952,Venomous Pyre,272361,21952,Instances.lua,inst,1320,2509,47.2,22.7,,,120100,inst+3,h:-75>x:12>inst:1320>d:109>e:2882,"{itemID=272361,spellID=1291013}",concrete_att_source_needs_restriction_review
22006,Small Lumber Pile,272441,22006,Holidays.lua,n,264056,2393,31.6,76.7,,,120005,h+3,h:-36>h:-749>h:-58>n:264056,"{cost={{""c"",3316,200}},itemID=272441,spellID=1291114}",concrete_att_source_needs_restriction_review
22007,Empty Wooden Toolbox,272442,22007,Holidays.lua,n,264056,2393,31.6,76.7,,,120005,h+3,h:-36>h:-749>h:-58>n:264056,"{cost={{""c"",3316,300}},itemID=272442,spellID=1291115}",concrete_att_source_needs_restriction_review
22008,Suramar Arcfruit Bowl,272443,22008,Holidays.lua,n,264056,2393,31.6,76.7,,,120005,h+3,h:-36>h:-749>h:-58>n:264056,"{cost={{""c"",3316,300}},itemID=272443,spellID=1291116}",concrete_att_source_needs_restriction_review
22009,Small Decorative Dornogal Opal,272444,22009,Holidays.lua,n,264056,2393,31.6,76.7,,,120005,h+3,h:-36>h:-749>h:-58>n:264056,"{cost={{""c"",3316,200}},itemID=272444,spellID=1291117}",concrete_att_source_needs_restriction_review
22010,Decorative Dornogal Opal,272445,22010,Holidays.lua,n,264056,2393,31.6,76.7,,,120005,h+3,h:-36>h:-749>h:-58>n:264056,"{cost={{""c"",3316,200}},itemID=272445,spellID=1291118}",concrete_att_source_needs_restriction_review
22011,Large Decorative Dornogal Opal,272446,22011,Holidays.lua,n,264056,2393,31.6,76.7,,,120005,h+3,h:-36>h:-749>h:-58>n:264056,"{cost={{""c"",3316,200}},itemID=272446,spellID=1291119}",concrete_att_source_needs_restriction_review
22143,Void Elf Scribe's Desk,273159,22143,ExpansionFeatures.lua,n,255495,2393,47.7,50.5,,,120100,h+2,h:-735>x:12>h:-758>h:-58>n:255495,"{cost={{""c"",3316,250}},itemID=273159,minReputation={2792,3},spellID=1291875}",concrete_att_source_needs_restriction_review
22147,Preyhunter's Fanged Bust,278374,22147,ExpansionFeatures.lua,n,258928,,,,,120001,120100,n+1,h:-735>x:12>h:-671>n:258928,"{awp=120001,itemID=278374,spellID=1304708}",concrete_att_source_needs_restriction_review
22181,Void Elf Floating Desk,273135,22181,ExpansionFeatures.lua,n,255495,2393,47.7,50.5,,,120100,h+2,h:-735>x:12>h:-758>h:-58>n:255495,"{cost={{""c"",3316,150}},itemID=273135,minReputation={2792,3},spellID=1291783}",concrete_att_source_needs_restriction_review
22182,Runic Parchment,273142,22182,ExpansionFeatures.lua,n,255495,2393,47.7,50.5,,,120100,h+2,h:-735>x:12>h:-758>h:-58>n:255495,"{cost={{""c"",3316,150}},itemID=273142,minReputation={2792,3},spellID=1291799}",concrete_att_source_needs_restriction_review
22183,Voidflame Candle,273157,22183,ExpansionFeatures.lua,n,255495,2393,47.7,50.5,,,120100,h+2,h:-735>x:12>h:-758>h:-58>n:255495,"{cost={{""c"",3316,150}},itemID=273157,minReputation={2792,3},spellID=1291871}",concrete_att_source_needs_restriction_review
22388,Void Inkwell,273147,22388,ExpansionFeatures.lua,n,255495,2393,47.7,50.5,,,120100,h+2,h:-735>x:12>h:-758>h:-58>n:255495,"{cost={{""c"",3316,150}},itemID=273147,minReputation={2792,3},spellID=1291804}",concrete_att_source_needs_restriction_review
24890,Preyhunter's Scaled Bust,278378,24890,ExpansionFeatures.lua,n,258928,,,,,120001,120100,n+1,h:-735>x:12>h:-671>n:258928,"{awp=120001,itemID=278378,spellID=1304713}",concrete_att_source_needs_restriction_review
25337,Hooked Net Trap,278154,25337,ExpansionFeatures.lua,n,258928,,,,,120001,120100,n+1,h:-735>x:12>h:-671>n:258928,"{awp=120001,itemID=278154,spellID=1303663}",concrete_att_source_needs_restriction_review
26651,Stormstout Hanging Lantern,278694,26651,Zones.lua,q,95779,2541,43.2,61.5,,,120100,q+1,h:-732>m:2541>h:-45>q:95779,"{itemID=278694,spellID=1305414}",concrete_att_source_needs_restriction_review
26651,Stormstout Hanging Lantern,278694,26651,Zones.lua,n,252873,2541,42,50.1,,120100,120100,h+2,h:-732>m:2541>h:-58>n:252873,"{awp=120100,cost={{""c"",3316,250}},itemID=278694,spellID=1305414}",concrete_att_source_needs_restriction_review
